Brand Name,Manufacturer,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugar,Potassium,Vitamins
Double Chex,Ralston Purina,100.0,2.0,0.0,190.0,1.0,18.0,5.0,80.0,25.0
Froot Loops,Kelloggs,110.0,2.0,1.0,125.0,1.0,11.0,13.0,30.0,25.0
Frosted Flakes,Kelloggs,110.0,1.0,0.0,200.0,1.0,14.0,11.0,25.0,25.0
Frosted Mini-Wheats,Kelloggs,100.0,3.0,0.0,0.0,3.0,14.0,7.0,100.0,25.0
Fruit & Fibre Dates Walnuts and Oats,Post,96.0,2.4,1.6,128.0,4.0,9.6,8.0,160.0,20.0
Fruitful Bran,Kelloggs,90.2,2.3,0.0,180.5,3.8,10.5,9.0,142.9,18.8
Fruity Pebbles,Post,110.0,1.0,1.0,135.0,0.0,13.0,12.0,25.0,25.0
Golden Crisp,Post,100.0,2.0,0.0,45.0,0.0,11.0,15.0,40.0,25.0
Golden Grahams,General Mills,110.0,1.0,1.0,280.0,0.0,15.0,9.0,45.0,25.0
Grape Nuts Flakes,Post,100.0,3.0,1.0,140.0,3.0,15.0,5.0,85.0,25.0
Grape-Nuts,Post,110.0,3.0,0.0,170.0,3.0,17.0,3.0,90.0,25.0
Great Grains Pecan,Post,120.0,3.0,3.0,75.0,3.0,13.0,4.0,100.0,25.0
Honey Graham Ohs,Quaker Oats,120.0,1.0,2.0,220.0,1.0,12.0,11.0,45.0,25.0
Honey Nut Cheerios,General Mills,110.0,3.0,1.0,250.0,1.5,11.5,10.0,90.0,25.0
Honey-comb,Post,110.0,1.0,0.0,180.0,0.0,14.0,11.0,35.0,25.0
Just Right Crunchy  Nuggets,Kelloggs,110.0,2.0,1.0,170.0,1.0,17.0,6.0,60.0,100.0
Just Right Fruit & Nut,Kelloggs,107.7,2.3,0.8,130.8,1.5,15.4,6.9,73.1,76.9
Kix,General Mills,110.0,2.0,1.0,260.0,0.0,21.0,3.0,40.0,25.0
Life,Quaker Oats,100.0,4.0,2.0,150.0,2.0,12.0,6.0,95.0,25.0
Lucky Charms,General Mills,110.0,2.0,1.0,180.0,0.0,12.0,12.0,55.0,25.0
Muesli Raisins Dates & Almonds,Ralston Purina,150.0,4.0,3.0,95.0,3.0,16.0,11.0,170.0,25.0
Muesli Raisins Peaches & Pecans,Ralston Purina,150.0,4.0,3.0,150.0,3.0,16.0,11.0,170.0,25.0
Mueslix Crispy Blend,Kelloggs,106.7,2.0,1.3,100.0,2.0,11.3,8.7,106.7,16.7
Multi-Grain Cheerios,General Mills,100.0,2.0,1.0,220.0,2.0,15.0,6.0,90.0,25.0
Nut&Honey Crunch,Kelloggs,120.0,2.0,1.0,190.0,0.0,15.0,9.0,40.0,25.0
Nutri-Grain Almond-Raisin,Kelloggs,105.3,2.3,1.5,165.4,2.3,15.8,5.3,97.7,18.8
Nutri-grain Wheat,Kelloggs,90.0,3.0,0.0,170.0,3.0,18.0,2.0,90.0,25.0
Oatmeal Raisin Crisp,General Mills,104.0,2.4,1.6,136.0,1.2,10.8,8.0,96.0,20.0
Post Nat. Raisin Bran,Post,90.2,2.3,0.8,150.4,4.5,8.3,10.5,195.5,18.8
Product 19,Kelloggs,100.0,3.0,0.0,320.0,1.0,20.0,3.0,45.0,100.0
Puffed Rice,Quaker Oats,100.0,2.0,0.0,0.0,0.0,26.0,0.0,30.0,0.0
Puffed Wheat,Quaker Oats,100.0,4.0,0.0,0.0,2.0,20.0,0.0,100.0,0.0
Quaker Oat Squares,Quaker Oats,100.0,4.0,1.0,135.0,2.0,14.0,6.0,110.0,25.0
Raisin Bran,Kelloggs,90.2,2.3,0.8,157.9,3.8,10.5,9.0,180.5,18.8
Raisin Nut Bran,General Mills,100.0,3.0,2.0,140.0,2.5,10.5,8.0,140.0,25.0
Raisin Squares,Kelloggs,90.0,2.0,0.0,0.0,2.0,15.0,6.0,110.0,25.0
Rice Chex,Ralston Purina,110.0,1.0,0.0,240.0,0.0,23.0,2.0,30.0,25.0
Rice Krispies,Kelloggs,110.0,2.0,0.0,290.0,0.0,22.0,3.0,35.0,25.0
Shredded Wheat,Nabisco,96.4,2.4,0.0,0.0,3.6,19.3,0.0,114.5,0.0
Shredded Wheat 'n'Bran,Nabisco,90.0,3.0,0.0,0.0,4.0,19.0,0.0,140.0,0.0
Shredded Wheat spoon size,Nabisco,90.0,3.0,0.0,0.0,3.0,20.0,0.0,120.0,0.0
Smacks,Kelloggs,110.0,2.0,1.0,70.0,1.0,9.0,15.0,40.0,25.0
Special K,Kelloggs,110.0,6.0,0.0,230.0,1.0,16.0,3.0,55.0,25.0
Strawberry Fruit Wheats,Nabisco,90.0,2.0,0.0,15.0,3.0,15.0,5.0,90.0,25.0
Total Corn Flakes,General Mills,110.0,2.0,1.0,200.0,0.0,21.0,3.0,35.0,100.0
Total Raisin Bran,General Mills,93.3,2.0,0.7,126.7,2.7,10.0,9.3,153.3,66.7
Total Whole Grain,General Mills,100.0,3.0,1.0,200.0,3.0,16.0,3.0,110.0,100.0
Triples,General Mills,110.0,2.0,1.0,250.0,0.0,21.0,3.0,60.0,25.0
Trix,General Mills,110.0,1.0,1.0,140.0,0.0,13.0,12.0,25.0,25.0
Wheat Chex,Ralston Purina,100.0,3.0,1.0,230.0,3.0,17.0,3.0,115.0,25.0
Wheaties,General Mills,100.0,3.0,1.0,200.0,3.0,17.0,3.0,110.0,25.0
Wheaties Honey Gold,General Mills,110.0,2.0,1.0,200.0,1.0,16.0,8.0,60.0,25.0
